Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-1.0    0.1         0.4         0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.45        0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.5         0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.55        0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.6         0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.65        0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.7         0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.75        0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.8         0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.85        0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.9         0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         0.95        0.8647    0.7670    0.8129    767     887         1000      
-1.0    0.1         1.0         0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.0         0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.05        0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.1         0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.15        0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.2         0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.25        0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.3         0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.35        0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.4         0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.45        0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.5         0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.55        0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.6         0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.65        0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.7         0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.75        0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.8         0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.85        0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.9         0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         0.95        0.8647    0.7670    0.8129    767     887         1000      
-0.9    0.1         1.0         0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.0         0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.05        0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.1         0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.15        0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.2         0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.25        0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.3         0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.35        0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.4         0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.45        0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.5         0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.55        0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.6         0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.65        0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.7         0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.75        0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.8         0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.85        0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.9         0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         0.95        0.8647    0.7670    0.8129    767     887         1000      
-0.8    0.1         1.0         0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.0         0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.05        0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.1         0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.15        0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.2         0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.25        0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.3         0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.35        0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.4         0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.45        0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.5         0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.55        0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.6         0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.65        0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.7         0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.75        0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.8         0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.85        0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.9         0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         0.95        0.8647    0.7670    0.8129    767     887         1000      
-0.7    0.1         1.0         0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.0         0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.05        0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.1         0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.15        0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.2         0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.25        0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.3         0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.35        0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.4         0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.45        0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.5         0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.55        0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.6         0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.65        0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.7         0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.75        0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.8         0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.85        0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.9         0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         0.95        0.8647    0.7670    0.8129    767     887         1000      
-0.6    0.1         1.0         0.8647    0.7670    0.8129    767     887         1000      
