Skip    SntNumPen   UnionScore  Precision Recall    F1        Match   Alignments  Gold      
-0.4    0.0         0.65        0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.7         0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.75        0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.8         0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.85        0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.9         0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         0.95        0.9415    0.9066    0.9237    3010    3197        3320      
-0.4    0.0         1.0         0.9415    0.9066    0.9237    3010    3197        3320      
-0.3    0.02        0.0         0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.05        0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.1         0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.15        0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.2         0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.25        0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.3         0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.35        0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.4         0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.45        0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.5         0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.55        0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.6         0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.65        0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.7         0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.75        0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.8         0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.85        0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.9         0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        0.95        0.9401    0.9075    0.9235    3013    3205        3320      
-0.3    0.02        1.0         0.9401    0.9075    0.9235    3013    3205        3320      
-0.1    0.02        0.0         0.9387    0.9087    0.9235    3017    3214        3320      
-0.1    0.02        0.05        0.9387    0.9087    0.9235    3017    3214        3320      
-0.1    0.02        0.1         0.9387    0.9087    0.9235    3017    3214        3320      
-1.0    0.02        0.0         0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.05        0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.1         0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.15        0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.2         0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.25        0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.3         0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.35        0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.4         0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.45        0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.5         0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.55        0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.6         0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.65        0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.7         0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.75        0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.8         0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.85        0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.9         0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        0.95        0.9398    0.9069    0.9231    3011    3204        3320      
-1.0    0.02        1.0         0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.0         0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.05        0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.1         0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.15        0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.2         0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.25        0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.3         0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.35        0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.4         0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.45        0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.5         0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.55        0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.6         0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.65        0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.7         0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.75        0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.8         0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.85        0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.9         0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        0.95        0.9398    0.9069    0.9231    3011    3204        3320      
-0.9    0.02        1.0         0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.0         0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.05        0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.1         0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.15        0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.2         0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.25        0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.3         0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.35        0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.4         0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.45        0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.5         0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.55        0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.6         0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.65        0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.7         0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.75        0.9398    0.9069    0.9231    3011    3204        3320      
-0.8    0.02        0.8         0.9398    0.9069    0.9231    3011    3204        3320      
